,PlayerID,PlayerTypeID,ClubID,DateStarted
24078,240232,2,5,2021-01-01
24081,240232,2,6,2021-01-01
24125,240232,2,10,2021-01-01
24151,351302,1,1,2021-01-01
24153,351302,1,6,2021-01-01
24172,351302,1,17,2021-01-01
24182,230239,2,6,2021-01-01
24196,230239,2,7,2021-01-01
24218,225606,1,17,2021-01-01
24222,225606,1,6,2021-01-01
24252,225606,1,2,2021-01-01
24254,184976,2,6,2021-01-01
24268,184976,2,9,2021-01-01
24278,223042,2,6,2021-01-01
24279,223042,2,14,2021-01-01
24290,204067,3,24,2021-01-01
24364,252474,3,24,2021-01-01
24445,256514,3,24,2021-01-01
24539,206682,3,24,2021-01-01
24635,141815,3,24,2021-01-01
24685,201606,2,24,2021-01-01
24752,216617,2,24,2021-01-01
24825,105957,2,20,2021-01-01
24830,105957,2,24,2021-01-01
24889,171573,2,24,2021-01-01
24954,171573,2,23,2021-01-01
24988,304120,2,24,2021-01-01
25025,171650,2,24,2021-01-01
25079,300110,2,24,2021-01-01
25127,268173,2,24,2021-01-01
25149,290589,2,24,2021-01-01
25200,318554,2,24,2021-01-01
25237,280765,2,24,2021-01-01
25243,280765,2,7,2021-01-01
25298,277851,2,24,2021-01-01
25358,158640,1,24,2021-01-01
25419,70745,2,24,2021-01-01
25478,210252,1,24,2021-01-01
25538,156324,2,2,2021-01-01
25554,156324,2,24,2021-01-01
25589,259141,2,24,2021-01-01
25592,201324,3,16,2021-01-01
25608,201324,3,26,2021-01-01
25643,201324,3,2,2021-01-01
25645,135294,3,26,2021-01-01
25744,147064,3,26,2021-01-01
25785,132374,2,26,2021-01-01
25842,230220,2,26,2021-01-01
25857,230220,2,7,2021-01-01
25866,306544,3,26,2021-01-01
25899,272173,3,26,2021-01-01
25952,162768,2,11,2021-01-01
25975,162768,2,26,2021-01-01
25997,162768,2,20,2021-01-01
26005,288714,2,26,2021-01-01
26039,117713,2,26,2021-01-01
26108,252999,2,26,2021-01-01
26153,315925,2,26,2021-01-01
26160,290355,2,26,2021-01-01
26209,183615,2,26,2021-01-01
26302,100525,1,26,2021-01-01
26387,136135,1,26,2021-01-01
26436,216998,1,26,2021-01-01
26494,233050,1,26,2021-01-01
26591,230626,3,28,2021-01-01
26592,230626,3,29,2021-01-01
26659,131466,2,11,2021-01-01
26677,131466,2,28,2021-01-01
26723,175083,3,28,2021-01-01
26780,175083,3,24,2021-01-01
26803,41952,2,28,2021-01-01
26886,237002,2,16,2021-01-01
26900,237002,2,28,2021-01-01
26928,237002,2,7,2021-01-01
26958,237002,2,12,2021-01-01
26967,184221,2,28,2021-01-01
27035,302060,1,28,2021-01-01
27084,280612,1,28,2021-01-01
27125,266022,1,28,2021-01-01
27129,266022,1,25,2021-01-01
27169,286214,1,17,2021-01-01
27198,286214,1,28,2021-01-01
27226,280615,1,28,2021-01-01
27262,238859,2,29,2021-01-01
27291,232367,2,28,2021-01-01
27299,232367,2,29,2021-01-01
27326,302798,3,29,2021-01-01
27425,256476,3,29,2021-01-01
27485,256476,3,12,2021-01-01
27503,167862,3,29,2021-01-01
27532,167862,3,26,2021-01-01
27565,172540,3,29,2021-01-01
27592,257622,3,29,2021-01-01
27670,121010,2,29,2021-01-01
27712,121010,2,25,2021-01-01
27727,252831,3,27,2021-01-01
27761,252831,3,29,2021-01-01
27810,295771,2,29,2021-01-01
27845,295771,2,2,2021-01-01
