MatchClubPlayerID,PlayerTypeID,Goals,Assists,Fouls,Offsides,Shots,ShotsOnTarget,YellowCards,RedCards
504,2,0,0,0,0,1,0,0,0
505,2,0,0,1,0,0,0,0,0
506,1,1,0,0,0,1,1,1,0
507,1,0,0,3,1,2,2,0,0
508,1,0,0,1,0,1,0,0,0
510,3,0,0,2,1,0,0,0,0
511,3,0,0,4,0,0,0,0,0
512,3,0,0,2,0,0,0,1,0
513,3,0,0,2,0,0,0,1,0
514,2,0,0,2,0,0,0,1,0
515,2,0,0,2,1,2,1,1,0
516,2,0,1,0,1,2,0,0,0
517,2,2,0,3,0,2,2,1,0
518,1,0,0,2,0,5,1,1,0
519,1,0,0,1,0,2,0,0,0
520,3,0,0,0,0,0,0,0,0
521,1,0,0,0,0,0,0,0,0
522,2,0,0,0,0,0,0,0,0
524,3,0,0,0,0,0,0,0,0
526,3,0,0,0,0,0,0,0,0
527,1,0,0,0,0,0,0,0,0
528,3,0,0,0,0,0,0,0,0
530,3,0,0,1,0,0,0,1,0
531,3,0,0,5,0,2,1,0,0
532,3,0,0,0,0,0,0,0,0
533,2,0,0,1,0,1,0,1,0
534,2,0,0,0,1,1,0,0,0
535,3,0,1,1,0,3,1,1,0
536,3,0,0,1,0,1,0,0,0
537,1,0,0,2,0,0,0,0,0
538,1,1,0,0,0,3,1,0,0
539,2,0,0,1,2,1,0,0,0
541,3,0,0,0,1,0,0,0,0
542,3,0,0,3,0,0,0,1,0
543,3,0,0,1,0,0,0,0,0
544,2,0,0,1,0,1,0,0,0
545,2,0,0,0,0,0,0,0,0
546,2,0,1,1,0,2,0,0,0
547,1,0,0,1,4,1,0,1,0
548,3,0,0,0,0,0,0,1,0
549,1,0,0,1,0,1,1,0,0
